etf_id,backtest_start,backtest_end,total_return,cagr,max_drawdown,sharpe_ratio
IXUS,2015-05-01,2025-08-29,0.8277705013448649,0.06007916864047247,-0.36222863539687433,0.42649169781114893
TLT,2015-05-01,2025-08-29,-0.08612710964314907,-0.008674924072571644,-0.4835112670356547,0.01811198369509922
VV,2015-05-01,2025-08-29,2.665640729875103,0.13390287928480604,-0.34279106684294836,0.7794582421942565
IWR,2015-05-01,2025-08-29,1.595751558798073,0.09666961894588022,-0.40590696749482136,0.5742845411972822
IWB,2015-05-01,2025-08-29,2.5488313886054956,0.13035602980190664,-0.34600660928307914,0.763657870744586
BIL,2015-05-01,2025-08-29,0.20694685359888898,0.01836276342506693,-0.002084483168793616,6.897319871940549
JEPI,2020-05-21,2025-08-29,0.7963688158480124,0.11740596803630843,-0.1371193238025289,1.057523107507721
IVE,2015-05-01,2025-08-29,1.7054949662688426,0.10107156296263353,-0.37043752685278863,0.6452925048190321
MBB,2015-05-01,2025-08-29,0.12910734124477674,0.011816147445592229,-0.1764605735387933,0.25477302016146164
SPYG,2015-05-01,2025-08-29,3.48549104177265,0.15626158023473624,-0.3266636047396573,0.8133575259196342
DIA,2015-05-01,2025-08-29,2.130323234682229,0.11671743087705111,-0.3669606735738732,0.7152505104629353
VCSH,2015-05-01,2025-08-29,0.3058372568329455,0.026150607510841306,-0.12861283130128454,0.7999403228652218
BSV,2015-05-01,2025-08-29,0.21630405239383954,0.019123878703946717,-0.08538435798113142,0.8217662155638152
MUB,2015-05-01,2025-08-29,0.22401155373820658,0.019746845345247843,-0.1368078612320719,0.4298450628943882
VTEB,2015-08-25,2025-08-29,0.22271131058285887,0.02027131819477046,-0.16995840801643514,0.4104732436422913
DFAC,2021-06-14,2025-08-29,0.4913876927769725,0.09957161832648964,-0.23113935791491425,0.6230985963906617
SCHB,2015-05-01,2025-08-29,2.4604985693007997,0.12760312935497198,-0.3527448125107192,0.7458579465822329
IEF,2015-05-01,2025-08-29,0.11797427871228217,0.010846689720459102,-0.239247615942771,0.195146238447471
VNQ,2015-05-01,2025-08-29,0.7420673965193307,0.05516559550438127,-0.42398166177667496,0.36378443732511156
IUSB,2015-05-01,2025-08-29,0.21789689088706043,0.01925291322161682,-0.17898862157820694,0.4059399058926336
XLV,2015-05-01,2025-08-29,1.2389450278898164,0.08109335918466543,-0.2840432077572116,0.5465951783660153
DGRO,2015-05-01,2025-08-29,2.1785109857401523,0.11836899823376301,-0.35103170631792224,0.7509099878524658
JPST,2017-05-19,2025-08-29,0.26713535694256785,0.028989269837170317,-0.032813122978472276,2.977669256683237
VGIT,2015-05-01,2025-08-29,0.16413563793026587,0.014811047508374697,-0.16053242500734988,0.3483969684563039
VONG,2015-05-01,2025-08-29,3.9320542610348443,0.16692652067658775,-0.3271733175535536,0.8497092096925773
VBR,2015-05-01,2025-08-29,1.3774705672431722,0.0873901070783778,-0.45275231025261164,0.49648333064235695
LQD,2015-05-01,2025-08-29,0.31094007855780337,0.026537841320844135,-0.24954900002143487,0.3483100437902416
JEPQ,2022-05-04,2025-08-29,0.5663585569502176,0.14457456530334056,-0.20069910754584852,0.8674319641708452
MGK,2015-05-01,2025-08-29,3.9802378394297193,0.1680245455796361,-0.36012617716117634,0.8257303424163662
SPDW,2015-05-01,2025-08-29,0.897538984305345,0.0639278258532221,-0.34981301446834956,0.4456690280899009
SPYV,2015-05-01,2025-08-29,1.7368651548850265,0.10230021374214338,-0.3688730794382137,0.6530822863461384
GOVT,2015-05-01,2025-08-29,0.1140478911766789,0.010502702308866851,-0.19073455933745576,0.2268481858336334
EFV,2015-05-01,2025-08-29,0.8043119295855194,0.05875526939219,-0.4316339858474959,0.405474416990908
SMH,2015-05-01,2025-08-29,10.380042965773384,0.265235460963553,-0.4530263037723492,0.9043926283401968
XLE,2015-05-01,2025-08-29,0.6471003835254914,0.049459052963354955,-0.6681304559387928,0.312533012828184
VGK,2015-05-01,2025-08-29,0.9378618311177167,0.06609426476934366,-0.3723562782207289,0.43227223248310415
TQQQ,2015-05-01,2025-08-29,18.885246284332503,0.33542616023734384,-0.8165984799129624,0.7734412848941368
VGFPF,2020-03-09,2025-08-29,,,-1.0,
USHY,2017-10-26,2025-08-29,0.43868333031434426,0.0474462339282542,-0.22442077439165664,0.5866209940829265
XLC,2018-06-19,2025-08-29,1.3808819878257936,0.12804053039609564,-0.4665360220973289,0.6420893042112574
JAAA,2020-10-19,2025-08-29,0.23180269347542115,0.04380247155673933,-0.026030162079922148,2.4684695334044617
BIV,2015-05-01,2025-08-29,0.23950906096212754,0.02098879539924625,-0.18943485674110638,0.4065039595335404
IUSG,2015-05-01,2025-08-29,3.2902941031096997,0.15129546844529118,-0.3234732134213377,0.798611119357045
SHY,2015-05-01,2025-08-29,0.16678368808971755,0.01503413135449394,-0.05707089484214012,0.9795433751347006
VXF,2015-05-01,2025-08-29,1.578053588290512,0.09594404237371346,-0.4171625785663706,0.526258467354508
MDY,2015-05-01,2025-08-29,1.4630366153463674,0.09111591316557788,-0.4222244748217926,0.5202648801669986
XLI,2015-05-01,2025-08-29,2.251048247362397,0.12081295575766915,-0.42334085316213976,0.6747651153932049
XLY,2015-05-01,2025-08-29,2.404973665637433,0.12584001921068588,-0.3966955660080904,0.6545038691667153
USMV,2015-05-01,2025-08-29,1.7611536736816613,0.10324279586201146,-0.33098893138168817,0.7433297969645477
IYW,2015-05-01,2025-08-29,6.175814715062506,0.2100323379561897,-0.39436172289387084,0.8946835618061638
VGSH,2015-05-01,2025-08-29,0.177097154876241,0.015898648339154997,-0.05700420226003222,1.0256353509915266
DYNF,2019-03-21,2025-08-29,1.5766197442033119,0.1581440716614242,-0.34718012319518243,0.8210638549272354
FBTC,2024-01-11,2025-08-29,1.308952958009312,0.6694032382756214,-0.2821172325563338,1.255574663905415
OEF,2015-05-01,2025-08-29,3.0819125554558005,0.14576341493286415,-0.314355142236142,0.8284246585007056
